 Pop size:10	 Mutation prob:40	 Time:1002	 ResultTime:979	 Fitness:-124179	 Generations:546	 Hard broken:31
 Pop size:10	 Mutation prob:50	 Time:1001	 ResultTime:919	 Fitness:-108147	 Generations:591	 Hard broken:29
 Pop size:10	 Mutation prob:60	 Time:1001	 ResultTime:968	 Fitness:-126178	 Generations:607	 Hard broken:34
 Pop size:10	 Mutation prob:70	 Time:1001	 ResultTime:968	 Fitness:-100182	 Generations:590	 Hard broken:28
 Pop size:10	 Mutation prob:80	 Time:1002	 ResultTime:939	 Fitness:-160218	 Generations:597	 Hard broken:43
 Pop size:10	 Mutation prob:90	 Time:1001	 ResultTime:1001	 Fitness:-88161	 Generations:599	 Hard broken:27
 Pop size:10	 Mutation prob:100	 Time:1002	 ResultTime:944	 Fitness:-138173	 Generations:599	 Hard broken:38
 Pop size:25	 Mutation prob:40	 Time:1001	 ResultTime:1001	 Fitness:-100164	 Generations:189	 Hard broken:28
 Pop size:25	 Mutation prob:50	 Time:1004	 ResultTime:967	 Fitness:-122169	 Generations:189	 Hard broken:34
 Pop size:25	 Mutation prob:60	 Time:1002	 ResultTime:988	 Fitness:-92187	 Generations:176	 Hard broken:27
 Pop size:25	 Mutation prob:70	 Time:1004	 ResultTime:953	 Fitness:-72157	 Generations:169	 Hard broken:22
 Pop size:25	 Mutation prob:80	 Time:1001	 ResultTime:1001	 Fitness:-94175	 Generations:172	 Hard broken:28
 Pop size:25	 Mutation prob:90	 Time:1004	 ResultTime:976	 Fitness:-66127	 Generations:171	 Hard broken:21
 Pop size:25	 Mutation prob:100	 Time:1005	 ResultTime:1000	 Fitness:-99142	 Generations:173	 Hard broken:33
 Pop size:50	 Mutation prob:40	 Time:1012	 ResultTime:975	 Fitness:-141204	 Generations:56	 Hard broken:41
 Pop size:50	 Mutation prob:50	 Time:1011	 ResultTime:1011	 Fitness:-155186	 Generations:50	 Hard broken:44
 Pop size:50	 Mutation prob:60	 Time:1014	 ResultTime:997	 Fitness:-169193	 Generations:52	 Hard broken:50
 Pop size:50	 Mutation prob:70	 Time:1010	 ResultTime:1010	 Fitness:-168195	 Generations:53	 Hard broken:51
 Pop size:50	 Mutation prob:80	 Time:1010	 ResultTime:1010	 Fitness:-149181	 Generations:53	 Hard broken:51
 Pop size:50	 Mutation prob:90	 Time:1012	 ResultTime:1012	 Fitness:-143179	 Generations:52	 Hard broken:46
 Pop size:50	 Mutation prob:100	 Time:1018	 ResultTime:998	 Fitness:-137178	 Generations:49	 Hard broken:43
 Pop size:75	 Mutation prob:40	 Time:1012	 ResultTime:1012	 Fitness:-220191	 Generations:27	 Hard broken:65
 Pop size:75	 Mutation prob:50	 Time:1006	 ResultTime:967	 Fitness:-253189	 Generations:26	 Hard broken:74
 Pop size:75	 Mutation prob:60	 Time:1011	 ResultTime:1011	 Fitness:-233221	 Generations:23	 Hard broken:66
 Pop size:75	 Mutation prob:70	 Time:1018	 ResultTime:926	 Fitness:-224224	 Generations:26	 Hard broken:63
 Pop size:75	 Mutation prob:80	 Time:1023	 ResultTime:1023	 Fitness:-226195	 Generations:24	 Hard broken:65
 Pop size:75	 Mutation prob:90	 Time:1033	 ResultTime:985	 Fitness:-226210	 Generations:26	 Hard broken:66
 Pop size:75	 Mutation prob:100	 Time:1005	 ResultTime:1005	 Fitness:-206210	 Generations:16	 Hard broken:58
 Pop size:100	 Mutation prob:40	 Time:1044	 ResultTime:1044	 Fitness:-258195	 Generations:18	 Hard broken:72
 Pop size:100	 Mutation prob:50	 Time:1001	 ResultTime:1001	 Fitness:-252200	 Generations:17	 Hard broken:74
 Pop size:100	 Mutation prob:60	 Time:1043	 ResultTime:952	 Fitness:-253225	 Generations:16	 Hard broken:71
 Pop size:100	 Mutation prob:70	 Time:1068	 ResultTime:1068	 Fitness:-264245	 Generations:17	 Hard broken:75
 Pop size:100	 Mutation prob:80	 Time:1044	 ResultTime:969	 Fitness:-249200	 Generations:16	 Hard broken:73
 Pop size:100	 Mutation prob:90	 Time:1060	 ResultTime:1060	 Fitness:-209232	 Generations:17	 Hard broken:60
 Pop size:100	 Mutation prob:100	 Time:1103	 ResultTime:1103	 Fitness:-266210	 Generations:11	 Hard broken:78
 Pop size:125	 Mutation prob:40	 Time:1111	 ResultTime:955	 Fitness:-249186	 Generations:8	 Hard broken:73
 Pop size:125	 Mutation prob:50	 Time:1020	 ResultTime:1020	 Fitness:-287242	 Generations:12	 Hard broken:82
 Pop size:125	 Mutation prob:60	 Time:1026	 ResultTime:1026	 Fitness:-246208	 Generations:8	 Hard broken:72
 Pop size:125	 Mutation prob:70	 Time:1105	 ResultTime:1105	 Fitness:-273200	 Generations:14	 Hard broken:79
 Pop size:125	 Mutation prob:80	 Time:1038	 ResultTime:844	 Fitness:-291224	 Generations:10	 Hard broken:81
 Pop size:125	 Mutation prob:90	 Time:1015	 ResultTime:1015	 Fitness:-257225	 Generations:8	 Hard broken:77
 Pop size:125	 Mutation prob:100	 Time:1029	 ResultTime:1029	 Fitness:-295226	 Generations:11	 Hard broken:83
