 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:40	 Time:120001	 ResultTime:115410	 Fitness:-128	 Generations:39727	 Hard broken:0
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:40	 Time:120002	 ResultTime:118441	 Fitness:-8128	 Generations:39377	 Hard broken:2
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:40	 Time:120002	 ResultTime:114655	 Fitness:-12118	 Generations:39727	 Hard broken:3
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:40	 Time:120002	 ResultTime:119960	 Fitness:-111	 Generations:39068	 Hard broken:0
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:40	 Time:120001	 ResultTime:107573	 Fitness:-4126	 Generations:39267	 Hard broken:1
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:40	 Time:120002	 ResultTime:115947	 Fitness:-4116	 Generations:40289	 Hard broken:1
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:40	 Time:120004	 ResultTime:113750	 Fitness:-4125	 Generations:39652	 Hard broken:1
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:40	 Time:120002	 ResultTime:113226	 Fitness:-140	 Generations:39738	 Hard broken:0
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:40	 Time:120002	 ResultTime:119464	 Fitness:-4133	 Generations:38785	 Hard broken:1
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:40	 Time:120003	 ResultTime:116620	 Fitness:-118	 Generations:18936	 Hard broken:0
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:40	 Time:120002	 ResultTime:112822	 Fitness:-133	 Generations:18608	 Hard broken:0
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:40	 Time:120002	 ResultTime:116893	 Fitness:-114	 Generations:19076	 Hard broken:0
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:40	 Time:120005	 ResultTime:110100	 Fitness:-4134	 Generations:18751	 Hard broken:1
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:40	 Time:120002	 ResultTime:119536	 Fitness:-126	 Generations:18840	 Hard broken:0
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:40	 Time:120002	 ResultTime:112454	 Fitness:-8140	 Generations:18977	 Hard broken:2
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:40	 Time:120004	 ResultTime:111508	 Fitness:-124	 Generations:18817	 Hard broken:0
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:40	 Time:120006	 ResultTime:118987	 Fitness:-131	 Generations:18981	 Hard broken:0
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:40	 Time:120002	 ResultTime:116936	 Fitness:-8115	 Generations:18814	 Hard broken:2
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:40	 Time:120004	 ResultTime:109760	 Fitness:-114	 Generations:12719	 Hard broken:0
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:40	 Time:120009	 ResultTime:104739	 Fitness:-4102	 Generations:13036	 Hard broken:1
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:40	 Time:120008	 ResultTime:103077	 Fitness:-8112	 Generations:12887	 Hard broken:2
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:40	 Time:120008	 ResultTime:117192	 Fitness:-106	 Generations:12876	 Hard broken:0
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:40	 Time:120002	 ResultTime:111414	 Fitness:-125	 Generations:12580	 Hard broken:0
